GeoName,enero_2011,febrero_2011,marzo_2011,abril_2011,mayo_2011,junio_2011,julio_2011,agosto_2011,septiembre_2011,octubre_2011,noviembre_2011,diciembre_2011,enero_2012,febrero_2012,marzo_2012,abril_2012,mayo_2012,junio_2012,julio_2012,agosto_2012,septiembre_2012,octubre_2012,noviembre_2012,diciembre_2012,enero_2013,febrero_2013,marzo_2013,abril_2013,mayo_2013,junio_2013,julio_2013,agosto_2013,septiembre_2013,octubre_2013,noviembre_2013,diciembre_2013,enero_2014,febrero_2014,marzo_2014,abril_2014,mayo_2014,junio_2014,julio_2014,agosto_2014,septiembre_2014,octubre_2014,noviembre_2014,diciembre_2014,enero_2015,febrero_2015,marzo_2015,abril_2015,mayo_2015,junio_2015,julio_2015,agosto_2015,septiembre_2015,octubre_2015,noviembre_2015,diciembre_2015,enero_2016,febrero_2016,marzo_2016,abril_2016,mayo_2016,junio_2016,julio_2016,agosto_2016,septiembre_2016,octubre_2016,noviembre_2016,diciembre_2016
Alabama,11575.333333333334,11575.333333333334,11575.333333333334,11584.333333333334,11584.333333333334,11584.333333333334,11659.0,11659.0,11659.0,11683.333333333334,11683.333333333334,11683.333333333334,11793.0,11793.0,11793.0,11870.333333333334,11870.333333333334,11870.333333333334,11730.333333333334,11730.333333333334,11730.333333333334,12010.0,12010.0,12010.0,11862.0,11862.0,11862.0,11903.333333333334,11903.333333333334,11903.333333333334,11960.666666666666,11960.666666666666,11960.666666666666,11879.0,11879.0,11879.0,11985.0,11985.0,11985.0,12177.0,12177.0,12177.0,12318.0,12318.0,12318.0,12472.666666666666,12472.666666666666,12472.666666666666,12599.666666666666,12599.666666666666,12599.666666666666,12705.0,12705.0,12705.0,12805.0,12805.0,12805.0,12799.0,12799.0,12799.0,12828.333333333334,12828.333333333334,12828.333333333334,12871.0,12871.0,12871.0,12904.666666666666,12904.666666666666,12904.666666666666,12994.333333333334,12994.333333333334,12994.333333333334
Alaska,17103.666666666668,17103.666666666668,17103.666666666668,17366.333333333332,17366.333333333332,17366.333333333332,17594.666666666668,17594.666666666668,17594.666666666668,17811.333333333332,17811.333333333332,17811.333333333332,17736.333333333332,17736.333333333332,17736.333333333332,17809.666666666668,17809.666666666668,17809.666666666668,17688.0,17688.0,17688.0,17894.0,17894.0,17894.0,17384.333333333332,17384.333333333332,17384.333333333332,17349.0,17349.0,17349.0,17499.333333333332,17499.333333333332,17499.333333333332,17515.666666666668,17515.666666666668,17515.666666666668,18046.333333333332,18046.333333333332,18046.333333333332,18308.666666666668,18308.666666666668,18308.666666666668,18438.333333333332,18438.333333333332,18438.333333333332,18635.0,18635.0,18635.0,18871.666666666668,18871.666666666668,18871.666666666668,18923.333333333332,18923.333333333332,18923.333333333332,18899.666666666668,18899.666666666668,18899.666666666668,18880.666666666668,18880.666666666668,18880.666666666668,18478.0,18478.0,18478.0,18469.333333333332,18469.333333333332,18469.333333333332,18523.333333333332,18523.333333333332,18523.333333333332,18642.666666666668,18642.666666666668,18642.666666666668
Arizona,11658.333333333334,11658.333333333334,11658.333333333334,11703.666666666666,11703.666666666666,11703.666666666666,11781.666666666666,11781.666666666666,11781.666666666666,11849.333333333334,11849.333333333334,11849.333333333334,12007.0,12007.0,12007.0,12099.333333333334,12099.333333333334,12099.333333333334,11992.666666666666,11992.666666666666,11992.666666666666,12378.0,12378.0,12378.0,12172.666666666666,12172.666666666666,12172.666666666666,12297.0,12297.0,12297.0,12346.0,12346.0,12346.0,12379.666666666666,12379.666666666666,12379.666666666666,12570.0,12570.0,12570.0,12681.0,12681.0,12681.0,12798.0,12798.0,12798.0,12959.333333333334,12959.333333333334,12959.333333333334,13160.0,13160.0,13160.0,13282.666666666666,13282.666666666666,13282.666666666666,13294.666666666666,13294.666666666666,13294.666666666666,13423.0,13423.0,13423.0,13532.666666666666,13532.666666666666,13532.666666666666,13670.333333333334,13670.333333333334,13670.333333333334,13808.0,13808.0,13808.0,13882.0,13882.0,13882.0
Arkansas,11283.333333333334,11283.333333333334,11283.333333333334,11279.333333333334,11279.333333333334,11279.333333333334,11448.666666666666,11448.666666666666,11448.666666666666,11570.666666666666,11570.666666666666,11570.666666666666,11929.333333333334,11929.333333333334,11929.333333333334,12083.666666666666,12083.666666666666,12083.666666666666,11951.333333333334,11951.333333333334,11951.333333333334,12419.333333333334,12419.333333333334,12419.333333333334,12053.0,12053.0,12053.0,12089.333333333334,12089.333333333334,12089.333333333334,12137.666666666666,12137.666666666666,12137.666666666666,12093.0,12093.0,12093.0,12449.333333333334,12449.333333333334,12449.333333333334,12699.333333333334,12699.333333333334,12699.333333333334,12790.333333333334,12790.333333333334,12790.333333333334,13005.0,13005.0,13005.0,12925.666666666666,12925.666666666666,12925.666666666666,13022.666666666666,13022.666666666666,13022.666666666666,13157.0,13157.0,13157.0,13240.666666666666,13240.666666666666,13240.666666666666,13272.333333333334,13272.333333333334,13272.333333333334,13358.333333333334,13358.333333333334,13358.333333333334,13409.333333333334,13409.333333333334,13409.333333333334,13526.666666666666,13526.666666666666,13526.666666666666
California,15065.0,15065.0,15065.0,15105.0,15105.0,15105.0,15256.0,15256.0,15256.0,15242.0,15242.0,15242.0,15634.666666666666,15634.666666666666,15634.666666666666,15790.666666666666,15790.666666666666,15790.666666666666,15733.666666666666,15733.666666666666,15733.666666666666,16547.333333333332,16547.333333333332,16547.333333333332,15728.333333333334,15728.333333333334,15728.333333333334,15976.333333333334,15976.333333333334,15976.333333333334,16098.333333333334,16098.333333333334,16098.333333333334,16277.333333333334,16277.333333333334,16277.333333333334,16466.666666666668,16466.666666666668,16466.666666666668,16735.0,16735.0,16735.0,17029.666666666668,17029.666666666668,17029.666666666668,17245.0,17245.0,17245.0,17635.333333333332,17635.333333333332,17635.333333333332,17893.333333333332,17893.333333333332,17893.333333333332,18041.333333333332,18041.333333333332,18041.333333333332,18187.333333333332,18187.333333333332,18187.333333333332,18404.666666666668,18404.666666666668,18404.666666666668,18491.0,18491.0,18491.0,18703.0,18703.0,18703.0,18884.333333333332,18884.333333333332,18884.333333333332
Colorado,14410.0,14410.0,14410.0,14529.333333333334,14529.333333333334,14529.333333333334,14687.666666666666,14687.666666666666,14687.666666666666,14682.666666666666,14682.666666666666,14682.666666666666,14975.333333333334,14975.333333333334,14975.333333333334,15080.666666666666,15080.666666666666,15080.666666666666,14964.333333333334,14964.333333333334,14964.333333333334,15618.0,15618.0,15618.0,15426.666666666666,15426.666666666666,15426.666666666666,15634.0,15634.0,15634.0,15781.666666666666,15781.666666666666,15781.666666666666,15924.666666666666,15924.666666666666,15924.666666666666,16395.0,16395.0,16395.0,16673.0,16673.0,16673.0,16824.666666666668,16824.666666666668,16824.666666666668,17062.333333333332,17062.333333333332,17062.333333333332,17094.0,17094.0,17094.0,17184.666666666668,17184.666666666668,17184.666666666668,17135.333333333332,17135.333333333332,17135.333333333332,17131.0,17131.0,17131.0,16952.333333333332,16952.333333333332,16952.333333333332,16988.0,16988.0,16988.0,17146.0,17146.0,17146.0,17343.666666666668,17343.666666666668,17343.666666666668
Connecticut,20736.333333333332,20736.333333333332,20736.333333333332,21054.0,21054.0,21054.0,21144.666666666668,21144.666666666668,21144.666666666668,21014.0,21014.0,21014.0,21018.0,21018.0,21018.0,21182.333333333332,21182.333333333332,21182.333333333332,20910.0,20910.0,20910.0,21632.0,21632.0,21632.0,20579.666666666668,20579.666666666668,20579.666666666668,20607.333333333332,20607.333333333332,20607.333333333332,20693.0,20693.0,20693.0,20776.666666666668,20776.666666666668,20776.666666666668,21104.333333333332,21104.333333333332,21104.333333333332,21357.0,21357.0,21357.0,21604.0,21604.0,21604.0,21917.666666666668,21917.666666666668,21917.666666666668,21851.0,21851.0,21851.0,22006.0,22006.0,22006.0,22109.666666666668,22109.666666666668,22109.666666666668,22320.0,22320.0,22320.0,22442.333333333332,22442.333333333332,22442.333333333332,22497.666666666668,22497.666666666668,22497.666666666668,22517.0,22517.0,22517.0,22584.666666666668,22584.666666666668,22584.666666666668
Delaware,14446.333333333334,14446.333333333334,14446.333333333334,14561.333333333334,14561.333333333334,14561.333333333334,14667.666666666666,14667.666666666666,14667.666666666666,14686.333333333334,14686.333333333334,14686.333333333334,14511.0,14511.0,14511.0,14606.0,14606.0,14606.0,14418.0,14418.0,14418.0,14807.666666666666,14807.666666666666,14807.666666666666,14449.0,14449.0,14449.0,14643.666666666666,14643.666666666666,14643.666666666666,14674.0,14674.0,14674.0,14808.0,14808.0,14808.0,14885.666666666666,14885.666666666666,14885.666666666666,15093.333333333334,15093.333333333334,15093.333333333334,15209.666666666666,15209.666666666666,15209.666666666666,15275.0,15275.0,15275.0,15588.0,15588.0,15588.0,15793.0,15793.0,15793.0,15741.333333333334,15741.333333333334,15741.333333333334,15857.666666666666,15857.666666666666,15857.666666666666,15824.666666666666,15824.666666666666,15824.666666666666,16000.0,16000.0,16000.0,16128.333333333334,16128.333333333334,16128.333333333334,16282.0,16282.0,16282.0
District of Columbia,22183.333333333332,22183.333333333332,22183.333333333332,22269.333333333332,22269.333333333332,22269.333333333332,22440.333333333332,22440.333333333332,22440.333333333332,22395.0,22395.0,22395.0,22536.333333333332,22536.333333333332,22536.333333333332,22548.0,22548.0,22548.0,22193.333333333332,22193.333333333332,22193.333333333332,22725.333333333332,22725.333333333332,22725.333333333332,22330.666666666668,22330.666666666668,22330.666666666668,22391.333333333332,22391.333333333332,22391.333333333332,22334.333333333332,22334.333333333332,22334.333333333332,22438.666666666668,22438.666666666668,22438.666666666668,23164.333333333332,23164.333333333332,23164.333333333332,23410.0,23410.0,23410.0,23658.0,23658.0,23658.0,23758.0,23758.0,23758.0,24760.333333333332,24760.333333333332,24760.333333333332,24954.333333333332,24954.333333333332,24954.333333333332,25003.333333333332,25003.333333333332,25003.333333333332,25031.666666666668,25031.666666666668,25031.666666666668,25584.0,25584.0,25584.0,25786.0,25786.0,25786.0,25871.666666666668,25871.666666666668,25871.666666666668,26097.666666666668,26097.666666666668,26097.666666666668
Far West,14706.0,14706.0,14706.0,14752.0,14752.0,14752.0,14880.0,14880.0,14880.0,14905.0,14905.0,14905.0,15281.333333333334,15281.333333333334,15281.333333333334,15427.333333333334,15427.333333333334,15427.333333333334,15370.333333333334,15370.333333333334,15370.333333333334,16062.333333333334,16062.333333333334,16062.333333333334,15366.333333333334,15366.333333333334,15366.333333333334,15571.0,15571.0,15571.0,15691.333333333334,15691.333333333334,15691.333333333334,15829.666666666666,15829.666666666666,15829.666666666666,16057.333333333334,16057.333333333334,16057.333333333334,16324.333333333334,16324.333333333334,16324.333333333334,16597.666666666668,16597.666666666668,16597.666666666668,16810.0,16810.0,16810.0,17161.0,17161.0,17161.0,17382.333333333332,17382.333333333332,17382.333333333332,17517.0,17517.0,17517.0,17632.333333333332,17632.333333333332,17632.333333333332,17839.0,17839.0,17839.0,17919.333333333332,17919.333333333332,17919.333333333332,18113.666666666668,18113.666666666668,18113.666666666668,18286.666666666668,18286.666666666668,18286.666666666668
Florida,13333.666666666666,13333.666666666666,13333.666666666666,13458.0,13458.0,13458.0,13525.333333333334,13525.333333333334,13525.333333333334,13574.333333333334,13574.333333333334,13574.333333333334,13608.666666666666,13608.666666666666,13608.666666666666,13660.333333333334,13660.333333333334,13660.333333333334,13581.666666666666,13581.666666666666,13581.666666666666,14080.333333333334,14080.333333333334,14080.333333333334,13472.333333333334,13472.333333333334,13472.333333333334,13541.666666666666,13541.666666666666,13541.666666666666,13611.333333333334,13611.333333333334,13611.333333333334,13667.666666666666,13667.666666666666,13667.666666666666,13932.333333333334,13932.333333333334,13932.333333333334,14212.666666666666,14212.666666666666,14212.666666666666,14381.0,14381.0,14381.0,14600.333333333334,14600.333333333334,14600.333333333334,14829.666666666666,14829.666666666666,14829.666666666666,14966.666666666666,14966.666666666666,14966.666666666666,15022.666666666666,15022.666666666666,15022.666666666666,15092.333333333334,15092.333333333334,15092.333333333334,15062.0,15062.0,15062.0,15143.333333333334,15143.333333333334,15143.333333333334,15309.333333333334,15309.333333333334,15309.333333333334,15463.0,15463.0,15463.0
Georgia,12146.666666666666,12146.666666666666,12146.666666666666,12204.666666666666,12204.666666666666,12204.666666666666,12333.333333333334,12333.333333333334,12333.333333333334,12317.0,12317.0,12317.0,12334.666666666666,12334.666666666666,12334.666666666666,12369.0,12369.0,12369.0,12300.0,12300.0,12300.0,12670.0,12670.0,12670.0,12374.666666666666,12374.666666666666,12374.666666666666,12491.0,12491.0,12491.0,12512.0,12512.0,12512.0,12579.666666666666,12579.666666666666,12579.666666666666,12870.333333333334,12870.333333333334,12870.333333333334,13105.666666666666,13105.666666666666,13105.666666666666,13276.666666666666,13276.666666666666,13276.666666666666,13457.333333333334,13457.333333333334,13457.333333333334,13671.0,13671.0,13671.0,13806.666666666666,13806.666666666666,13806.666666666666,13910.0,13910.0,13910.0,13964.333333333334,13964.333333333334,13964.333333333334,14154.333333333334,14154.333333333334,14154.333333333334,14155.666666666666,14155.666666666666,14155.666666666666,14256.333333333334,14256.333333333334,14256.333333333334,14426.0,14426.0,14426.0
Great Lakes,13243.666666666666,13243.666666666666,13243.666666666666,13318.0,13318.0,13318.0,13474.333333333334,13474.333333333334,13474.333333333334,13527.666666666666,13527.666666666666,13527.666666666666,13745.0,13745.0,13745.0,13853.666666666666,13853.666666666666,13853.666666666666,13801.0,13801.0,13801.0,14201.666666666666,14201.666666666666,14201.666666666666,13945.666666666666,13945.666666666666,13945.666666666666,14049.0,14049.0,14049.0,14085.333333333334,14085.333333333334,14085.333333333334,14116.666666666666,14116.666666666666,14116.666666666666,14309.0,14309.0,14309.0,14505.333333333334,14505.333333333334,14505.333333333334,14639.666666666666,14639.666666666666,14639.666666666666,14822.0,14822.0,14822.0,15000.0,15000.0,15000.0,15144.333333333334,15144.333333333334,15144.333333333334,15247.0,15247.0,15247.0,15334.666666666666,15334.666666666666,15334.666666666666,15349.666666666666,15349.666666666666,15349.666666666666,15401.333333333334,15401.333333333334,15401.333333333334,15471.0,15471.0,15471.0,15602.666666666666,15602.666666666666,15602.666666666666
Hawaii,14229.333333333334,14229.333333333334,14229.333333333334,14234.0,14234.0,14234.0,14223.0,14223.0,14223.0,14315.333333333334,14315.333333333334,14315.333333333334,14488.0,14488.0,14488.0,14568.0,14568.0,14568.0,14418.333333333334,14418.333333333334,14418.333333333334,14553.0,14553.0,14553.0,14435.333333333334,14435.333333333334,14435.333333333334,14482.333333333334,14482.333333333334,14482.333333333334,14540.333333333334,14540.333333333334,14540.333333333334,14629.333333333334,14629.333333333334,14629.333333333334,14884.666666666666,14884.666666666666,14884.666666666666,15090.0,15090.0,15090.0,15245.0,15245.0,15245.0,15353.666666666666,15353.666666666666,15353.666666666666,15528.0,15528.0,15528.0,15682.666666666666,15682.666666666666,15682.666666666666,15767.666666666666,15767.666666666666,15767.666666666666,15888.0,15888.0,15888.0,16029.0,16029.0,16029.0,16144.666666666666,16144.666666666666,16144.666666666666,16245.333333333334,16245.333333333334,16245.333333333334,16370.0,16370.0,16370.0
Idaho,11055.333333333334,11055.333333333334,11055.333333333334,11104.666666666666,11104.666666666666,11104.666666666666,11204.0,11204.0,11204.0,11233.666666666666,11233.666666666666,11233.666666666666,11400.0,11400.0,11400.0,11510.0,11510.0,11510.0,11518.666666666666,11518.666666666666,11518.666666666666,11960.666666666666,11960.666666666666,11960.666666666666,11712.0,11712.0,11712.0,11901.0,11901.0,11901.0,11979.666666666666,11979.666666666666,11979.666666666666,11984.0,11984.0,11984.0,12119.666666666666,12119.666666666666,12119.666666666666,12333.0,12333.0,12333.0,12404.333333333334,12404.333333333334,12404.333333333334,12607.333333333334,12607.333333333334,12607.333333333334,12851.666666666666,12851.666666666666,12851.666666666666,12883.666666666666,12883.666666666666,12883.666666666666,12994.666666666666,12994.666666666666,12994.666666666666,12969.666666666666,12969.666666666666,12969.666666666666,13098.0,13098.0,13098.0,13196.0,13196.0,13196.0,13274.0,13274.0,13274.0,13277.333333333334,13277.333333333334,13277.333333333334
Illinois,14608.333333333334,14608.333333333334,14608.333333333334,14653.666666666666,14653.666666666666,14653.666666666666,14746.333333333334,14746.333333333334,14746.333333333334,14757.0,14757.0,14757.0,15149.0,15149.0,15149.0,15264.666666666666,15264.666666666666,15264.666666666666,15167.333333333334,15167.333333333334,15167.333333333334,15654.666666666666,15654.666666666666,15654.666666666666,15417.333333333334,15417.333333333334,15417.333333333334,15564.333333333334,15564.333333333334,15564.333333333334,15624.333333333334,15624.333333333334,15624.333333333334,15712.333333333334,15712.333333333334,15712.333333333334,15904.333333333334,15904.333333333334,15904.333333333334,16098.0,16098.0,16098.0,16241.0,16241.0,16241.0,16468.666666666668,16468.666666666668,16468.666666666668,16683.0,16683.0,16683.0,16844.666666666668,16844.666666666668,16844.666666666668,16997.666666666668,16997.666666666668,16997.666666666668,17057.0,17057.0,17057.0,17032.666666666668,17032.666666666668,17032.666666666668,17044.333333333332,17044.333333333332,17044.333333333332,17095.0,17095.0,17095.0,17283.333333333332,17283.333333333332,17283.333333333332
Indiana,12354.333333333334,12354.333333333334,12354.333333333334,12458.333333333334,12458.333333333334,12458.333333333334,12675.0,12675.0,12675.0,12752.333333333334,12752.333333333334,12752.333333333334,12850.333333333334,12850.333333333334,12850.333333333334,13014.333333333334,13014.333333333334,13014.333333333334,13017.333333333334,13017.333333333334,13017.333333333334,13296.666666666666,13296.666666666666,13296.666666666666,13188.666666666666,13188.666666666666,13188.666666666666,13164.0,13164.0,13164.0,13136.333333333334,13136.333333333334,13136.333333333334,13091.333333333334,13091.333333333334,13091.333333333334,13284.666666666666,13284.666666666666,13284.666666666666,13523.666666666666,13523.666666666666,13523.666666666666,13664.666666666666,13664.666666666666,13664.666666666666,13819.666666666666,13819.666666666666,13819.666666666666,13911.0,13911.0,13911.0,14030.0,14030.0,14030.0,14068.0,14068.0,14068.0,14167.0,14167.0,14167.0,14220.0,14220.0,14220.0,14321.666666666666,14321.666666666666,14321.666666666666,14436.666666666666,14436.666666666666,14436.666666666666,14540.666666666666,14540.666666666666,14540.666666666666
Iowa,13470.333333333334,13470.333333333334,13470.333333333334,13503.0,13503.0,13503.0,13733.0,13733.0,13733.0,13804.666666666666,13804.666666666666,13804.666666666666,14026.0,14026.0,14026.0,14186.666666666666,14186.666666666666,14186.666666666666,14078.333333333334,14078.333333333334,14078.333333333334,14400.666666666666,14400.666666666666,14400.666666666666,14299.666666666666,14299.666666666666,14299.666666666666,14362.666666666666,14362.666666666666,14362.666666666666,14397.0,14397.0,14397.0,14280.666666666666,14280.666666666666,14280.666666666666,14409.666666666666,14409.666666666666,14409.666666666666,14750.666666666666,14750.666666666666,14750.666666666666,14783.0,14783.0,14783.0,14883.333333333334,14883.333333333334,14883.333333333334,15062.0,15062.0,15062.0,15070.0,15070.0,15070.0,15209.666666666666,15209.666666666666,15209.666666666666,15243.0,15243.0,15243.0,15178.666666666666,15178.666666666666,15178.666666666666,15171.333333333334,15171.333333333334,15171.333333333334,15275.333333333334,15275.333333333334,15275.333333333334,15259.333333333334,15259.333333333334,15259.333333333334
Kansas,13966.333333333334,13966.333333333334,13966.333333333334,14240.333333333334,14240.333333333334,14240.333333333334,14457.0,14457.0,14457.0,14501.0,14501.0,14501.0,14975.666666666666,14975.666666666666,14975.666666666666,14964.0,14964.0,14964.0,14705.0,14705.0,14705.0,15248.0,15248.0,15248.0,15003.0,15003.0,15003.0,15243.0,15243.0,15243.0,15285.333333333334,15285.333333333334,15285.333333333334,15354.333333333334,15354.333333333334,15354.333333333334,15172.0,15172.0,15172.0,15392.0,15392.0,15392.0,15515.333333333334,15515.333333333334,15515.333333333334,15624.333333333334,15624.333333333334,15624.333333333334,15542.666666666666,15542.666666666666,15542.666666666666,15553.666666666666,15553.666666666666,15553.666666666666,15547.333333333334,15547.333333333334,15547.333333333334,15494.333333333334,15494.333333333334,15494.333333333334,15408.666666666666,15408.666666666666,15408.666666666666,15519.666666666666,15519.666666666666,15519.666666666666,15644.666666666666,15644.666666666666,15644.666666666666,15720.0,15720.0,15720.0
